place, device_train, device_test, err0, err1, err2, err3, err4, err5, err6, err7, err8, err9, err10, err11, err12, err13, err14, err15, err16, err17, err18, err19, err20, err21, err22, err23, err24, err25, err26, err27, err28, err29, err30, err31, err32, err33, err34, err35, err36, err37, err38, err39, err40, err41, err42, err43, err44, err45, err46, err47, err48, err49, err50, err51, err52, err53, err54, err55, err56, err57, err58, err59, err60, err61, err62, err63, err64, err65, err66, err67, err68, err69, err70, err71, err72, err73, err74, err75, err76, err77, err78, err79, err80, err81, err82, err83, err84, err85, err86, err87, err88, err89, err90, err91, err92, err93, err94, err95, err96, err97, err98, err99
clark_A, samsungS7, samsungS7, 5.587224293836285, 6.360689552831577, 6.063435442430743, 5.055043069707202, 4.4466406746973375, 4.268979649989674, 5.094796759392739, 5.8309028726047565, 6.403139932456799, 3.7242978057662515, 3.078195365660511, 5.595095022040774, 2.775125202260285, 1.2108134467460994, 2.835235653362504, 2.5712320496550185, 3.299594395296877, 2.83523565336251, 2.827989773590071, 2.6081303746123234, 2.3587113327507345, 2.682643534854426, 2.4406413602435677, 2.070416152455686, 0.07483384028079967, 0.19309664228542256, 0.79089770291155, 1.5153519654511223, 1.340896489641167, 0.9484786699646336, 0.5635633238986895, 0.778151340675509, 3.49257414479875, 0.6781030321384541, 0.48791607899144207, 1.9009493413306133, 0.9866982689541834, 0.9866982689542034, 1.6398215988395188, 2.183352465857059, 2.958812090755192, 2.109409277734409, 2.4248858323543168, 1.8784397062377767, 4.256756034386846, 3.1802816277980144, 4.29921881837308, 1.3613384214840774, 2.8387549515564983, 3.540885318013599, 2.1770762081606203, 2.5898688519188138, 3.4397039849677133, 3.2808675153669022, 6.322681938899049, 4.029674304692856, 0.2683943038584926, 1.535905795748902, 7.227500644516024, 4.08112697681111, 2.9853170437642063, 4.587095502346556, 3.4598210049484868, 2.875804374554842, 4.271542053702911, 3.5953908194115556, 6.283086760702109, 7.198641689856152, 3.0597133612484164, 3.8613001245051493, 3.3120125111381022, 2.910555420116099, 5.556064624963554, 4.698273589859408, 4.199959411567776, 4.666635930704453, 1.598658370161585, 6.29549187547922, 5.175289967181154, 3.8505915534964847, 4.895444813227639, 6.863703982415811, 2.638893516260423, 3.700340022842934, 0.8343001738635667, 3.440272334815345, 3.942053237461649, 4.047300083790042, 2.7476793592355353, 2.5862385984287086, 2.0959786193775276, 2.889921076820638, 3.1986198742700345, 2.5845087430717335, 3.191921738853557, 1.783840725523071, 0.8187669777840171, 0.920579765196315, 2.445709612171525, 2.514238481263551, 3.1964885887818486, 3.0846619303053227, 0.33144345805411035, 0.8873344861857183, 0.7229711216391835, 1.6414948271140533, 0.5965022251314837, 1.2134627287767543, 1.5715480006894786, 1.922748310756732, 0.46549418128338105, 0.30700978664039286, 0.5488981441215272, 0.4523833375307926, 0.7560757458070939, 0.9653939733182811, 0.7513916506287336, 0.5725892625566809, 1.0623688276979875, 0.6480004091355233, 3.6298237292730593, 3.122987732362756, 4.484765220403296, 1.1608082032171412, 1.326941318668104, 2.3439595533682036, 1.7825331849715853, 3.4130213651134205, 2.685649692964647, 6.994752881313584, 5.14082742523214, 2.5648634425484467, 1.5478172821195206, 3.4929796635861274, 4.052775837962896, 4.13250961397532, 4.409127760162722, 3.1426022481742213, 3.2430381027903428, 3.910261041029966, 5.488997954548121, 4.680172204825024, 4.540315898135404, 1.2848998498006146, 4.726933208356616, 6.14228288899418, 2.6673189259711627, 5.111993451293061, 5.296306466374649, 5.121844098543935, 8.013999481756066, 8.780067605342838, 7.0854548019560575, 9.162761175980215, 5.70928226863044, 6.769673388338468, 8.825753884427945, 6.509346980108216, 9.255539559316405, 6.141658885525123, 8.789407005122884, 6.927962992500024, 6.915111134032694, 5.8772743808619055, 9.487645024113254, 6.113348295501821, 7.2404171254811, 6.921536989214789, 7.3871050730476355
lib, LG, LG, 
lib, LG, oneplus2, 
lib, LG, oneplus3, 
lib, LG, samsungS6, 
lib, LG, samsungS7, 
lib, oneplus2, LG, 
lib, oneplus2, oneplus2, 
lib, oneplus2, oneplus3, 
lib, oneplus2, samsungS6, 
lib, oneplus2, samsungS7, 
lib, oneplus3, LG, 
lib, oneplus3, oneplus2, 
lib, oneplus3, oneplus3, 
lib, oneplus3, samsungS6, 
lib, oneplus3, samsungS7, 
lib, samsungS6, LG, 
lib, samsungS6, oneplus2, 
lib, samsungS6, oneplus3, 
lib, samsungS6, samsungS6, 
lib, samsungS6, samsungS7, 
lib, samsungS7, LG, 
lib, samsungS7, oneplus2, 
lib, samsungS7, oneplus3, 
lib, samsungS7, samsungS6, 
lib, samsungS7, samsungS7, 
mech_f1, LG, LG, 
mech_f1, LG, oneplus2, 
mech_f1, LG, oneplus3, 
mech_f1, LG, samsungS6, 
mech_f1, LG, samsungS7, 
mech_f1, oneplus2, LG, 
mech_f1, oneplus2, oneplus2, 6.701892801961991, 5.118521401521562, 4.7812870215122905, 6.6365429785521926, 4.414566689782988, 5.519899930205268, 5.440893894125084, 5.910510531221421, 5.841684184419526, 4.381499598376555, 3.887767375421626, 4.572416072468859, 4.601171635997995, 4.1633454066833595, 2.0577009058017204, 2.7054218278690576, 4.328794545574416, 4.795718501144214, 2.7512514171542297, 1.7761481085798725, 2.4078575860786393, 1.977974503023067, 1.9014995601283686, 1.9227105246501854, 0.22455796576735942, 0.22455796576736273, 3.084279489908071, 0.22440231882471848, 0.9955640783947188, 0.7417855042765412, 0.578302958621637, 0.3573245082233674, 0.1336781305494594, 1.9705603605146536, 1.6240624668314991, 2.2875863002820402, 0.7729582645818169, 0.7785704973268112, 1.936035996357947, 2.875475726855724, 3.2907737558555246, 2.293789186768421, 1.9506277133921122, 1.5821629736517295, 2.6728858315663597, 3.12369139271474, 2.023976393832627, 1.7109374162177453, 2.564041561732146, 2.5258565554331587, 4.382120980455294, 2.905384176536696, 4.354717854984915, 5.18712298620839, 0.9933695725588957, 0.4755328350961932, 1.704334433082012, 2.6856199634737656, 4.084795065509198, 3.4586818138585587, 3.622800474552771, 3.547630490087301, 4.0972437038050185, 0.7856178404333006, 3.895988647200493, 4.634606807835613, 5.651880526130742, 4.560675290936156, 7.6334322254713145, 3.091222194596536, 0.09876804974762819, 4.483138790984597, 3.0275267036057762, 3.0275267036057967, 2.6997413315310057, 4.097884942378303, 2.702052989802571, 2.577400684779311, 4.267470904930046, 2.381650728217513, 4.306221431619928, 3.995451095957882, 3.9659917517811993, 3.915661867026796, 2.576649197538586, 3.4481407666072355, 3.4481407666072332, 3.0852393234428517, 4.260084957632138, 4.170102832791223, 3.9049748705962393, 3.6277537465192036, 4.278521940392406, 2.570876773536828, 2.281045921995958, 4.597692553392869, 5.222102341865808, 2.374206411493511, 4.593212415415108, 4.285513482838551, 3.5998292073622515, 3.27384328405341, 3.599829207362227, 2.4109921487234334, 3.815109028523861, 2.5149023984806362, 3.8151090285238523, 3.031741798413154, 3.9526301628193266, 2.9381010292484775, 1.9623864186822677, 7.469156964245575, 5.9325334544416375, 3.3531219720013214, 2.1366177491254095, 3.6727928379232893, 2.561547436739051, 3.5509635429681814, 3.278470581344198, 1.228083106135392, 1.381110482281609, 1.9288354948556303, 2.9053226869529793, 1.3276480669934096, 0.9491714027936474, 0.9491714027936543, 0.9491714027936359, 0.9491714027936585, 0.9480449162916663, 0.9014514229464592, 2.486406230793793, 2.7793419181192682, 0.5771589349153942, 0.8572777966427446, 0.5034124298980098, 0.8324586070173275, 0.5477351477743299, 1.3866329517948572, 3.4450706936855147, 2.0325308077330537, 1.4309616077315237, 1.6803934225603478, 0.6255753849018595, 1.435723676411797, 0.6720291845491762, 1.5346409577745415, 1.5346409577745421, 1.0588078135750403, 0.7858815444406568, 2.580505330022054, 2.3997364791654565, 3.4786533074450197, 2.399736479165459, 2.3382288217564007, 3.1975568883738896, 3.358547019470335, 3.361191832593401, 6.7074933523207045, 6.494463595987651, 1.129388392789329, 6.27788086266548, 5.932331852086129, 7.359995081475233, 4.569381846978102, 3.3033378831647675, 4.086942227979215, 3.2713681672365422, 3.893707476191704, 2.974392580299548, 0.45805659074704297, 2.0315224817687594, 3.74037226598191, 5.234612372052513, 1.42495100359294, 0.5543762833927552, 3.751887839144878, 3.468013104458548, 0.6310770845139992, 0.485163386604164, 0.704791241444725, 0.9216246560114492, 1.613383274937109, 1.798213237003372, 0.6685379680509679, 1.7542535013796847, 1.3906870608193904, 2.102936977935549, 0.7651571028871288, 0.6665030735588652, 2.5317771927286197, 1.9070414407699854, 1.0245793007959398, 0.3599402404477545, 1.1622970651986544, 1.7357974226735442, 1.629373808661176, 2.6406653466713124, 1.5363810467639007, 1.5363810467638972, 1.7115248572887605, 2.2201291195653, 2.220129119565285, 1.6738504118269428, 2.8506620221429575, 2.51722104255062, 2.516535940176592, 2.5165359401766025, 2.234825861749408, 1.4470784747707481, 2.2941310686853544, 2.361677847520814, 4.722392431652882, 3.263455433793406, 0.5785111706390105, 0.31105018152015246, 2.2414672710627634, 1.8482023856258512, 1.8482023856258536, 0.5289775720658584, 4.11953217592448, 2.826672481372405, 2.2511852285567544, 2.1924798807944565, 2.2526581090379305, 2.397471393068702, 1.9486692554833203, 1.6899419579150208, 2.397471393068708, 1.16577235550727, 2.2023312589591244, 2.384969297055268, 1.957827098568312, 5.110938166570058, 1.5060001400677177, 3.4815767933217985, 3.389193467854762, 1.8616347767750296, 1.8616347767750294, 2.226657107309921, 1.4744648527428879, 1.1408707251976742, 1.7710315044545502, 0.17416492236340164, 1.2280633825869207, 1.9803758964726035, 0.8433019081764862, 1.978464156623619, 0.8900034208378483, 1.5229627509280086, 0.3039392146038151, 2.89894610993005, 0.46456869308108184, 0.9272498944622952, 1.3281283542895137, 3.813345416104379, 4.6402734929487925, 0.5944403554446586, 6.634097614817471, 0.10015376039852535, 2.1809208361721653, 0.3892471368318527, 0.03747603599778724, 3.805615955321423, 1.8046013813639923, 1.3641300606912825, 1.6506981777101208, 1.9481458592067147, 2.6306971017835523, 1.048789098618239, 0.14962212344711356, 2.5025213100104122, 0.5865497156864533, 0.6796321193721766, 0.1496221234470927, 1.405082526893429, 2.9770040411347978, 2.816888553207127, 1.1857863661350192, 0.23846839834240963, 1.6844588094764572, 0.40523244863764, 0.5644454490943215, 0.4053030259152174, 0.10214481669859028, 0.31217047559448174, 1.0820598504095196, 1.1397156937300887, 1.344448254981199, 0.16058092355345188, 3.4771188954561065, 2.3565397522680622, 2.605991966610797, 2.3566408079868113, 4.590366976995085, 3.70575082456114, 3.6142644825968873, 3.3547326691443646, 4.565715947773505, 3.397220968219857, 5.525410043198714, 4.484397855344895, 3.647459312366926, 5.0868987917031365, 4.430516856208803
mech_f1, oneplus2, oneplus3, 22.504895306455204, 22.50489530645518, 20.932402062634637, 25.18106572884407, 9.545794825073374, 2.360802657677448, 3.392109674065403, 3.058909996799932, 5.042116038526252, 1.2128103110303765, 2.0272673952943348, 4.183815459717483, 4.753601025522224, 3.731797558044008, 3.0682150819205054, 2.254939549193744, 3.6775632937550697, 3.559873796380098, 2.3618029666833573, 2.2993933784109672, 3.0174488567836217, 0.7141931898273628, 1.969432343394276, 1.9694323433942529, 1.3278757653633717, 0.7322979019020225, 1.8138132276056973, 6.65540369590253, 5.014117778157332, 1.2690568056329832, 3.3798812688140103, 2.365357437433371, 0.9629067653072532, 2.7435610329214857, 1.6357584240555347, 1.0083712018436968, 1.406002588486914, 4.173647594997098, 2.5912173764698605, 1.980689738261356, 3.306315925796968, 1.204472979888773, 4.519378156115295, 1.9806897382613773, 1.6953176827846181, 2.6886716073061647, 0.7226716589114236, 1.4348341788945305, 3.216318984244735, 0.29385428865755553, 0.3609235697226889, 1.3159566856758909, 1.2147622461583965, 0.07332156909999273, 4.277534643378978, 4.467305179168669, 4.277534643378932, 4.648922881018252, 6.514747588499695, 4.641995234553041, 2.5479610506101844, 2.272225192104783, 5.9443126020707, 1.8487429467897822, 4.090216042082037, 3.5444585022906487, 4.090216042082062, 3.236308511226366, 2.3120925582366927, 2.8238231048744757, 1.045544813676786, 2.689065937286386, 2.8238231048744757, 0.662578745665398, 1.834801756106081, 1.3588445851673943, 5.199000089303575, 1.321865325383104, 1.9552759625866978, 5.700214574106074, 2.3737172104252973, 2.3366428113902526, 2.321099519246951, 0.9484083824890973, 2.789283043831115, 2.966528676034801, 2.4275941219264716, 1.8728220811314398, 3.1071882780786733, 4.938514499947009, 2.2762924398116855, 3.422517166046956, 2.9928470734563075, 3.3318421407048704, 3.295665438066648, 4.082934504587744, 0.5504218673129692, 4.930226093344843, 3.5253214201102505, 2.639288875797522, 2.6258643561242976, 1.49673127152347, 3.1058717686454216, 2.879524570943845, 2.987553178623775, 2.1976126067058748, 3.117005437426113, 3.3216168300269535, 3.2492243354198003, 1.449789943412367, 2.2944439673858814, 2.106313468717968, 1.700730452687468, 1.7040987186832717, 0.8515995929476091, 1.2239685167272878, 1.1131014587623327, 1.113101458762322, 1.0956964070326938, 0.9431635729194623, 1.2731538953708905, 0.9489696867949297, 0.8992190145197736, 0.9489696867949247, 0.854140679121353, 0.8541406791213811, 0.8638872074391241, 3.949250534536413, 0.8541406791213778, 0.6117571644786708, 2.1810559327851244, 2.2564531340783383, 0.3733212795870711, 1.9479587243728589, 1.1466477422953176, 1.1466477422953256, 1.6482261267926126, 0.6612962689562238, 0.8009378031009259, 1.6813224784854275, 4.577684630403434, 5.678947278002337, 2.0390429679666924, 1.679955045559943, 1.600333794300929, 1.2220805884263104, 4.822740753144224, 1.6264483071557112, 0.7426085187205221, 1.731841739907984, 1.1197646014918181, 3.102015553332231, 3.0309542065849944, 3.030954206585, 4.635184298707687, 6.534903152826105, 7.967288491066196, 3.775392350503825, 3.707757194300309, 3.6631434924103936, 4.497138843094459, 1.9506725509488172, 1.7907382891917658, 8.065042167884027, 2.0728984727644786, 2.6913409811224045, 0.10604142394089093, 2.6913409811224134, 1.378641711382476, 3.5615455944687056, 0.7423381150680158, 0.42245965595808355, 0.8193206615687442, 1.0078298874067115, 2.0995839532944345, 1.0388414009580111, 3.265427963745127, 0.5109058456865758, 1.7583584354181188, 1.2308084873273288, 1.8992682156401992, 3.7825954185885884, 2.1527183410922257, 0.6397590331218868, 7.58201639581226, 4.315154294921751, 4.1251617923064625, 5.285619326541998, 7.730201527449833, 1.3610261753867694, 1.9424746878757284, 0.6010572151304782, 1.139882633753584, 1.361026175386764, 2.775081643634289, 1.827858584792086, 1.926308420934699, 1.031660981512127, 1.8320348330389788, 3.500479038409484, 3.1617546085189154, 2.0148256402498945, 2.710220054987728, 1.9066906884145445, 2.315391132483506, 2.0718225922667424, 1.7443489227586946, 2.3897188184575278, 1.367050880627258, 0.9044042082498164, 1.5687130612741325, 2.1309223071855734, 1.8156826157994779, 1.8642709397072923, 1.7428155884955308, 3.352329062919942, 1.7190663386520864, 2.237399239400908, 2.088201774728467, 2.8067275767253097, 6.240515135139013, 1.4659006652438862, 3.904250006137728, 3.0129742225316174, 3.475638820730115, 5.621600580226948, 3.1373474850469916, 3.147959307044734, 3.6167916726268565, 3.3124197150313455, 3.658998834082151, 4.717223044172516, 2.3776656132735408, 2.351019014587843, 2.232987135521651, 2.9648674968525124, 2.0665086519161875, 1.2687604373647623, 1.9809077851438224, 1.5461519274043725, 1.5016132665349329, 5.1291765154822695, 1.9397799465255692, 0.4638143016972216, 0.40548706399632445, 0.04016063151418758, 0.149840954321168, 0.2902627396988733, 0.8662888341937997, 0.42034712021157344, 0.04820652606166054, 1.1667480067212062, 1.192195940497366, 0.7577896142690277, 2.5775771576434767, 2.5220876637115524, 0.2807837526999087, 0.28078375269989453, 0.6014867751755061, 1.5625624283685864, 2.3728017702047763, 0.2706426007858175, 1.093426335320794, 0.2769114099786912, 1.5467419989808797, 1.5662559980896111, 3.831661592560972, 1.5962233643684027, 0.7296307230141117, 1.5350436687835858, 2.856276964130371, 3.0607208975279594, 0.2751138007570448, 3.5986114692904203, 1.193043216845477, 2.459745665910324, 0.2835465060702235, 2.639209408008051, 2.604926460830833, 2.7735313886625215, 1.2220508709214342, 2.167285370418638, 2.276728124769319, 0.17968155003217912, 4.168898327574366, 0.9347807685491367, 2.1211800540978083, 0.03963818587767248, 2.124220028716153, 3.8562402339199044, 3.5692948067726666, 3.2697143678474947, 3.269714367847491, 3.44792012559274, 3.949755720718233, 4.362194864806339, 3.4489896012068884, 4.362194864806347, 3.8665626018870576, 5.2207661347217345, 4.390816736016349, 7.063610418346514, 5.02326543887721, 4.269691080675708
mech_f1, oneplus2, samsungS6, 7.33495085766886, 6.630276198276871, 6.503856697142717, 7.064139851391562, 7.18623694095849, 7.186236940958504, 7.954435645016349, 6.593843458655841, 6.207462226898011, 6.634581010337695, 7.156620561207118, 7.400596195362297, 7.717824532971207, 7.071893761495233, 7.584267374410547, 14.624342168891227, 9.846182141661373, 8.38029480967896, 7.094129393142236, 3.3901810078933465, 2.3675252834995404, 4.526099212345614, 4.328820086453813, 6.231437487821124, 3.1874102169028085, 3.6505591070300247, 3.654051940732643, 2.9223496815267382, 2.397885121600973, 2.4258173584599234, 2.509243312381355, 2.7741448754079023, 2.774144875407881, 2.295970368954708, 4.188232794611722, 2.30188994766063, 3.2472539839391197, 5.6274390466992665, 5.811754129952357, 2.415704373338365, 2.429101687448354, 2.9232355695101906, 2.818787967135409, 2.3025109649936013, 2.3105976609320407, 3.4279899093074553, 2.927334898819272, 2.7059762105877105, 3.2066503246576623, 4.018265970894739, 3.164808464205016, 4.498736855983571, 3.5559300172954473, 3.555930017295467, 2.390007962855589, 2.3184277680652685, 2.3133916265090546, 2.4403424483299334, 2.9919116991584676, 2.398268859497606, 2.398268859497628, 2.5202506368553266, 2.28622618859854, 2.398268859497611, 3.1344145700971064, 2.3464763366584376, 2.771759419379354, 4.07606335647589, 2.346476336658429, 3.0141139314384557, 2.4291233543182447, 4.997064907649447, 3.014113931438437, 7.35766816510669, 6.127350488555029, 5.516559006962575, 7.369719641611646, 5.8925031224551505, 7.38644230097946, 5.9447979783884906, 5.864479837122897, 5.468076895365847, 6.2996019617168635, 5.869490151993986, 4.532841030635015, 4.5312009177707075, 4.840966667143293, 6.185887454849642, 4.616008945565283, 3.9085741417604463, 3.91913878974963, 3.680592245345966, 3.631915108981729, 5.167264267005671, 2.926222647170293, 3.2334822569381125, 2.7328230008790455, 2.5738124063710157, 3.104127491793829, 1.9781045024718813, 1.978104502471875, 3.0068510627839795, 2.360802527074584, 1.9781045024718813, 0.5921299088438575, 0.9650932079873312, 0.14260523912187864, 0.5921299088438529, 0.59212990884386, 1.4182289959520746, 2.024843720784598, 1.9487007895061865, 0.7505421440640332, 0.9947773468671616, 2.518438552172331, 1.4908764699884023, 2.736754991270647, 1.437302271832998, 3.060548241307035, 1.527376915624319, 3.5876762116096086, 1.0525867641872257, 1.4469501333892107, 1.5273769156243322, 1.6593603416138527, 2.009772918552407, 2.0097729185524296, 1.8105755727445048, 2.3491388981289507, 1.880561342750167, 4.6688566460401875, 3.013499751408421, 1.8950135862488697, 2.248827221988865, 7.940617800921294, 3.0320251755136542, 3.449524329338531, 2.688764177551843, 3.032025175513663, 4.168327574598061, 2.9517496970198884, 5.8736135089739605, 3.9014133818777434, 1.8973148951167795, 8.800681068995624, 4.551021062974537, 4.198238300835381, 2.1897711063846423, 6.883993140424735, 6.834775621794594, 3.2902007028436455, 6.741900901276933, 6.768928988385172, 4.277892816577437, 8.031137319527893, 1.5136850362428418, 5.244946604468617, 4.866643667184141, 6.062441028016659, 4.713990288915448, 2.528726878243423, 1.9445130857069088, 4.440519702168014, 4.040996487677781, 4.137510345149653, 2.10246974044391, 2.082600516141851, 3.893809665935884, 1.262156999342749, 8.95826864738875, 3.229750836619464, 4.007126345060545, 5.713568745532341, 6.426542792625894, 0.9562541925821814, 2.6840548871823082, 1.9853872762347886, 1.158845681583213, 3.3538706029914436, 3.3262797575602, 3.655333675257813, 1.6555872529647997, 2.4060948658102985, 2.4060948658102657, 0.8706016471792812, 2.6808269467644035, 2.6808269467644057, 2.1254827220496666, 1.21348725313906, 2.9221302461515157, 2.7548970168331026, 0.6334111341764253, 2.9221302461515193, 3.6339227132737917, 3.9170176594856922, 3.7186570759750293, 4.259723394553087, 4.301949221834186, 2.6726839971052825, 4.75587600727003, 4.554880842610835, 7.760685384976786, 4.660358411930057, 4.746414863506089, 6.65994855638506, 4.845156420163472, 4.316708718891968, 2.9252627807450944, 6.390884335964343, 6.556068570058022, 3.094511630790567, 4.91234328162995, 5.1877412025400655, 5.60887430318595, 3.9414325159419783, 4.542953405107974, 5.1623496511487, 4.89491868071827, 3.61157367469752, 3.2353585684920456, 2.4927786573942554, 2.3613438370479733, 2.4927786573942545, 4.293291187038726, 2.363926886602819, 2.4482818353351936, 2.3585382717855765, 2.3639268866028247, 2.3639268866028122, 2.9558007684319754, 2.3802430691812697, 2.4409961180262405, 2.4409961180262325, 2.8129795598912812, 2.4642378962263676, 2.5488120830354664, 2.453531151009745, 2.429081059397558, 2.408057369427386, 2.4581372286822645, 2.860606457523283, 2.4581372286822676, 2.652195926136022, 2.4172852151503035, 2.450072520487179, 3.231890195322915, 2.6760550756500514, 2.4262332298537634, 2.4893329474453134, 2.3720071265370954, 2.377439934972671, 2.4669351339587107, 2.8153752415453766, 2.389810891614281, 3.3901386000774596, 4.120705783821806, 3.7236453600552024, 2.4349359717650723, 2.446388099285866, 2.3988088184164553, 2.54440322640831, 2.4368033577830563, 4.1265996927953355, 2.398808818416458, 2.4647027004696627, 2.4042398485703584, 3.7464698258110167, 2.5107957322584395, 3.277315920705208, 6.198294626099712, 2.86372309481024, 2.903767358917304, 2.441987364958178, 5.42850013070102, 2.6483991579859083, 2.5782960181673773, 3.448899926717761, 6.528626356027359, 2.3855430431576683, 3.644287829688881, 2.7816515115153515, 3.0154876928912984, 3.9618979629276936, 2.4312635549966113, 5.060662411089297, 3.882379714471739, 4.383455220758259, 3.882379714471735, 3.7515133580001567, 5.418464529726933, 4.785577346552231, 3.73089811003923, 6.220650434297887, 5.168426616379179, 4.35824443613374, 5.708120804388411, 4.277050417644909, 4.078727785293318, 4.096064560021528, 6.933340228388796, 8.237054475670206, 11.70484320069932, 8.225892966257698, 5.906829587665907
